neuron_id,hit_peak,hit_auc,hit_latency,miss_peak,miss_auc,miss_latency,fa_peak,fa_auc,fa_latency,cr_peak,cr_auc,cr_latency
0301_20180323_11_timeseries.mat,0.420175044675402,6.460559853354944,15,0.20080102235078812,-3.679006622434826,30,0.36629044220728035,3.571873710042411,16,0.12069842594332601,-1.5086124215759857,4
0301_20180323_12_timeseries.mat,0.0845572771643111,0.5179226287103207,7,0.1469961446709931,0.6046414838250105,14,0.0665944927613429,0.31226981134465204,9,0.05449817699723338,0.3635398247965974,24
0301_20180323_15_timeseries.mat,0.25609249830068576,4.724933086837615,15,0.21622029738500714,-3.808373359215693,3,0.27053354168082494,2.786757017663399,13,0.09448954803060348,-2.493996448483238,5
0301_20180323_17_timeseries.mat,0.24511422387634715,2.7273293000913643,38,0.41978724155342206,1.4106267850244572,1,0.1905472795615959,2.540967972948969,22,0.1925329226498051,1.0566294978356412,9
0301_20180323_18_timeseries.mat,0.17192121293850332,2.504393634946609,10,0.3061416745185852,-1.296959119591823,0,0.11938097416514568,1.1058475132117533,17,0.19965645646804756,0.25439920747883094,6
0301_20180323_1_timeseries.mat,0.05578254164928304,-1.8775470486991312,35,0.18218793021515012,-0.2765097625172833,38,0.06689927983126265,-0.64018991558514,39,0.07198394424478083,1.135523498423138,1
0301_20180323_21_timeseries.mat,0.07356985565552134,-2.0569476386665317,39,0.1749351150356233,2.4593984554133685,33,0.04915519251360321,-0.7096307347365102,5,0.14612185700159325,1.0092742369865606,26
0301_20180323_22_timeseries.mat,0.1368490888645673,1.5234743236466626,8,0.20503410883247852,-0.20383455804888703,31,0.10627863321603988,1.1638750241429459,12,0.060921770618542245,-0.5886277115972469,3
0301_20180323_26_timeseries.mat,0.2923967663553499,2.8246355986551537,20,0.30601211404427886,0.31049622423840134,33,0.23774432285241417,2.0356105943704996,17,0.14590978744978966,0.25482938997447485,11
0301_20180323_28_timeseries.mat,0.05518579145427793,-0.5732965612823757,17,0.2139178873039782,1.2454035457961556,14,0.07275659783273096,-0.16873386515200967,3,0.10895162021839305,0.5614965968934326,15
0301_20180323_2_timeseries.mat,0.047305773713603796,-1.2484712535578601,3,0.22548366570845246,1.2457649321974409,6,0.0714681010177432,0.44193185106000393,0,0.1023538924606615,1.0882324677124988,22
0301_20180323_36_timeseries.mat,0.043264968148356446,-1.6448083728483753,37,0.2524807043373585,1.4304626599963133,16,0.06950718412796657,0.46417868644593735,4,0.11082986633195296,0.8766812415826215,31
0301_20180323_37_timeseries.mat,0.2358172394590275,3.303019118434305,20,0.26680513843894005,0.544697462770273,2,0.19449569622063825,1.8336782355180274,16,0.07228882522567322,-0.6710503274965991,33
0301_20180323_3_timeseries.mat,0.06985361368285903,-1.5634647459361106,39,0.18148664897307754,1.2929366070699566,24,0.0560191388871959,-0.7618969092001707,2,0.14724025917607114,2.0727505781131246,29
0301_20180323_7_timeseries.mat,0.13532033850926728,-1.4828088491192404,32,0.4548066193237901,3.0448978613288396,35,0.11502175594939093,-0.3238124474664801,36,0.141185973020344,0.7736108802226609,22
0406_20180409_10_timeseries.mat,0.15318886289793637,2.0095993507614667,28,0.08652850848457386,0.8894359539225788,3,0.24236553193380436,1.0963996731136123,32,0.11248209222685546,-0.43395666881244527,4
0406_20180409_13_timeseries.mat,1.041319272030265,24.377137337449525,17,0.47286340885705525,6.999683537254271,3,0.9490577578544617,12.017095880350096,12,1.2241564071349178,13.920209943890866,3
0406_20180409_1_timeseries.mat,0.5131776407361031,11.014302972050743,21,0.18881287535412178,0.5813208720317423,2,0.5695129580174884,5.596302821921805,17,0.23585777737510702,1.2005308569682205,3
0406_20180409_22_timeseries.mat,0.6090786045176848,8.962316618606405,20,0.25432482613400825,3.769761260923108,30,0.3607885790988803,3.1166220230774746,29,1.188403898384422,11.11513784660686,7
0406_20180409_25_timeseries.mat,0.16376178753712484,2.2747956596641776,35,0.03344420876894747,-0.27850618952507694,0,0.22189561339716116,0.44210060743292456,8,0.11045191844459623,0.4568296124463763,8
0406_20180409_2_timeseries.mat,0.309271345170395,2.190115881506704,26,0.18933731937901147,2.8570199354556576,28,0.24769103977208337,-1.0964530265571535,12,0.11793334351386875,-0.22407472685962504,30
0406_20180409_32_timeseries.mat,0.13346286328329193,0.742173243807541,14,0.05372944265869709,0.3166551589523297,19,0.14022798836231232,0.5808579727438173,23,0.14026756677776575,0.5093927518302936,39
0406_20180409_33_timeseries.mat,0.5011729579268684,7.786872077785226,20,0.1114075328185854,0.2954951887663957,39,0.3588877748697996,2.107954046920203,10,0.3574221741873771,-0.003755473383029617,39
0406_20180409_36_timeseries.mat,0.5231761061736653,11.853065528100736,36,0.18182979659327575,2.632073086671568,6,0.3244331351791819,1.8266883944549288,8,0.3379027680493891,2.8182486007895524,6
0406_20180409_4_timeseries.mat,0.1668830574180315,1.9935300906904803,31,0.05444419822250042,0.4444629852350185,11,0.07175665224591891,-0.931742356411026,35,0.11314042767238182,1.3481884973799523,11
0406_20180409_5_timeseries.mat,0.486364932190026,4.82454001439406,13,0.17873016729619498,0.32218194110258674,28,1.3689831780890624,8.562485821648604,11,0.4866266682899247,4.405265888878299,10
0406_20180409_7_timeseries.mat,0.4485163006991629,8.009061611631775,17,0.33879702291902036,3.311482795957921,3,0.3405384477227926,-0.7038069609293919,29,0.5348787158727646,9.904691553085286,20
0406_20180503_11_timeseries.mat,1.1372348873232327,19.47886401507099,14,0.9969281477387995,19.96462875055994,24,1.008290167788284,16.770027404367163,16,0.7896778535925679,17.92474282281128,13
